,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
10,bc_coimbra,40,0.1637 ± 0.034,0.159 ± 0.03,0.1956 ± 0.0446,0.1605 ± 0.0519,0.165 ± 0.0224,0.1401 ± 0.0271,0.1826 ± 0.0421,0.1939 ± 0.0616,0.1453 ± 0.0256
11,bc_coimbra,60,0.1878 ± 0.0607,0.1843 ± 0.0763,0.1972 ± 0.0306,0.1752 ± 0.0384,0.1741 ± 0.0202,0.1642 ± 0.0516,0.1587 ± 0.0347,0.1618 ± 0.0337,0.1673 ± 0.0341
12,indian_liver,10,0.1134 ± 0.0163,0.1079 ± 0.0124,0.104 ± 0.0347,0.1304 ± 0.0422,0.1251 ± 0.0113,0.1121 ± 0.0201,0.1082 ± 0.0058,0.1034 ± 0.0262,0.1075 ± 0.0152
13,indian_liver,20,0.1248 ± 0.0273,0.1156 ± 0.0105,0.1106 ± 0.0179,0.1264 ± 0.0098,0.1191 ± 0.0176,0.1143 ± 0.0112,0.1089 ± 0.0125,0.1073 ± 0.0146,0.1065 ± 0.0071
14,indian_liver,40,0.1175 ± 0.0101,0.1149 ± 0.0097,0.1094 ± 0.0062,0.1188 ± 0.0046,0.1178 ± 0.008,0.1116 ± 0.0154,0.1164 ± 0.0116,0.114 ± 0.0129,0.1088 ± 0.0124
15,indian_liver,60,0.1179 ± 0.0086,0.1148 ± 0.0122,0.1109 ± 0.0056,0.1158 ± 0.0131,0.122 ± 0.0076,0.1131 ± 0.0089,0.119 ± 0.0087,0.1161 ± 0.0066,0.1219 ± 0.0033
16,parkinsons,10,0.103 ± 0.0372,0.0993 ± 0.015,0.1352 ± 0.0082,0.1717 ± 0.0561,0.1561 ± 0.0603,0.1323 ± 0.0372,0.1315 ± 0.0595,0.1226 ± 0.0254,0.1471 ± 0.0526
17,parkinsons,20,0.1095 ± 0.0369,0.1133 ± 0.0282,0.1527 ± 0.0406,0.1568 ± 0.0436,0.1405 ± 0.0331,0.1156 ± 0.026,0.119 ± 0.0301,0.1096 ± 0.039,0.1534 ± 0.0593
18,parkinsons,40,0.1212 ± 0.032,0.1143 ± 0.0346,0.1526 ± 0.0319,0.1689 ± 0.0383,0.1513 ± 0.037,0.1377 ± 0.0332,0.1279 ± 0.0265,0.1482 ± 0.038,0.15 ± 0.0469
19,parkinsons,60,0.1198 ± 0.024,0.1934 ± 0.1417,0.1457 ± 0.0196,0.158 ± 0.0345,0.1424 ± 0.0332,0.1393 ± 0.0314,0.1343 ± 0.0257,0.1493 ± 0.0226,0.1382 ± 0.0323
20,mammographic_masses,10,0.2345 ± 0.0205,0.2593 ± 0.0237,0.2112 ± 0.0063,0.2507 ± 0.0311,0.2748 ± 0.0103,0.228 ± 0.0379,0.2269 ± 0.0163,0.2457 ± 0.0326,0.2342 ± 0.0461
21,mammographic_masses,20,0.2354 ± 0.021,0.2659 ± 0.0051,0.1921 ± 0.0073,0.2317 ± 0.0196,0.2743 ± 0.0076,0.2448 ± 0.0156,0.2417 ± 0.0234,0.243 ± 0.0258,0.2386 ± 0.0149
22,mammographic_masses,40,0.24 ± 0.0123,0.2626 ± 0.0192,0.1988 ± 0.0081,0.2462 ± 0.0402,0.274 ± 0.0059,0.2489 ± 0.0177,0.2277 ± 0.0311,0.2528 ± 0.0155,0.2446 ± 0.0101
23,mammographic_masses,60,0.2542 ± 0.0189,0.2495 ± 0.0111,0.2027 ± 0.0112,0.2509 ± 0.0116,0.2711 ± 0.0012,0.2553 ± 0.0119,0.2456 ± 0.0117,0.2444 ± 0.0157,0.2587 ± 0.014
24,hcv_egyptian,10,0.3298 ± 0.0132,0.3158 ± 0.0073,0.3128 ± 0.0158,0.3242 ± 0.0052,0.3152 ± 0.0085,0.3122 ± 0.0066,0.3182 ± 0.0147,0.3186 ± 0.0019,0.3217 ± 0.0059
25,hcv_egyptian,20,0.3223 ± 0.005,0.3139 ± 0.0042,0.3105 ± 0.009,0.3196 ± 0.0057,0.3159 ± 0.004,0.3122 ± 0.0125,0.3183 ± 0.0083,0.3145 ± 0.0085,0.3165 ± 0.0055
26,hcv_egyptian,40,0.3254 ± 0.0058,0.3175 ± 0.008,0.3203 ± 0.008,0.3248 ± 0.0072,0.3145 ± 0.0014,0.3212 ± 0.0061,0.3152 ± 0.0053,0.319 ± 0.0053,0.3149 ± 0.0056
27,hcv_egyptian,60,0.325 ± 0.0028,0.3151 ± 0.0049,0.3201 ± 0.0088,0.3247 ± 0.0117,0.3162 ± 0.0048,0.3169 ± 0.0062,0.3168 ± 0.0053,0.3156 ± 0.004,0.3184 ± 0.0043
28,thoracic_surgey,10,0.1482 ± 0.0206,0.1704 ± 0.0351,0.0994 ± 0.0239,0.1149 ± 0.0236,0.1437 ± 0.0152,0.1286 ± 0.0291,0.1351 ± 0.0206,0.1187 ± 0.0194,0.1301 ± 0.0208
29,thoracic_surgey,20,0.1417 ± 0.0146,0.1546 ± 0.0109,0.1021 ± 0.0196,0.1607 ± 0.0491,0.1473 ± 0.0059,0.1277 ± 0.0218,0.14 ± 0.0208,0.1367 ± 0.0142,0.1342 ± 0.0161
30,thoracic_surgey,40,0.1391 ± 0.0049,0.1453 ± 0.0098,0.1143 ± 0.0207,0.1321 ± 0.0072,0.1508 ± 0.0106,0.1375 ± 0.0113,0.1428 ± 0.0071,0.1362 ± 0.0101,0.1442 ± 0.0154
31,thoracic_surgey,60,0.1474 ± 0.0091,0.1491 ± 0.0115,0.0985 ± 0.0141,0.1297 ± 0.0216,0.1474 ± 0.0093,0.1418 ± 0.0104,0.1463 ± 0.0086,0.1405 ± 0.0091,0.1427 ± 0.0126
