,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
10,bc_coimbra,40,0.1885 ± 0.0214,0.2201 ± 0.0431,0.23 ± 0.0371,0.1525 ± 0.0285,0.2059 ± 0.028,0.1891 ± 0.0254,0.1828 ± 0.0201,0.185 ± 0.0244,0.1686 ± 0.0142
11,bc_coimbra,60,0.2004 ± 0.0248,0.2268 ± 0.0323,0.2328 ± 0.0373,0.1475 ± 0.0171,0.2048 ± 0.0425,0.1899 ± 0.033,0.1895 ± 0.0319,0.2063 ± 0.0301,0.1886 ± 0.0252
12,indian_liver,10,0.1527 ± 0.0218,0.1425 ± 0.013,0.1867 ± 0.0088,0.1934 ± 0.0177,0.1785 ± 0.0062,0.1857 ± 0.0119,0.1868 ± 0.0097,0.1814 ± 0.0124,0.1813 ± 0.0149
13,indian_liver,20,0.1627 ± 0.0096,0.1431 ± 0.0113,0.172 ± 0.005,0.163 ± 0.022,0.1705 ± 0.0105,0.1732 ± 0.01,0.1728 ± 0.0079,0.1727 ± 0.0073,0.1737 ± 0.004
14,indian_liver,40,0.1665 ± 0.0093,0.1573 ± 0.0026,0.1726 ± 0.0028,0.1498 ± 0.0155,0.1663 ± 0.0078,0.1691 ± 0.0114,0.1728 ± 0.0077,0.1688 ± 0.0041,0.1666 ± 0.0087
15,indian_liver,60,0.161 ± 0.0078,0.1508 ± 0.0106,0.1637 ± 0.0039,0.1326 ± 0.0223,0.1619 ± 0.0083,0.154 ± 0.0038,0.1553 ± 0.0062,0.1539 ± 0.0082,0.1526 ± 0.0066
16,parkinsons,10,0.1061 ± 0.0239,0.0947 ± 0.0201,0.2161 ± 0.0203,0.1947 ± 0.0335,0.1957 ± 0.0196,0.1498 ± 0.013,0.1427 ± 0.0174,0.1471 ± 0.0241,0.1429 ± 0.0198
17,parkinsons,20,0.123 ± 0.0216,0.1063 ± 0.0208,0.2013 ± 0.012,0.2083 ± 0.0433,0.1903 ± 0.0216,0.1556 ± 0.0213,0.1543 ± 0.0232,0.1541 ± 0.0204,0.1527 ± 0.0262
18,parkinsons,40,0.1403 ± 0.018,0.1303 ± 0.0206,0.2024 ± 0.0168,0.1672 ± 0.0324,0.1869 ± 0.0183,0.1606 ± 0.0239,0.1628 ± 0.023,0.1632 ± 0.0194,0.1587 ± 0.0215
19,parkinsons,60,0.1672 ± 0.0258,0.1543 ± 0.0173,0.205 ± 0.0135,0.1732 ± 0.0435,0.1945 ± 0.0174,0.1676 ± 0.0217,0.1716 ± 0.0178,0.1674 ± 0.0192,0.1685 ± 0.0212
20,mammographic_masses,10,0.1329 ± 0.0213,0.1114 ± 0.0225,0.1514 ± 0.0204,0.1923 ± 0.0385,0.2659 ± 0.0117,0.1889 ± 0.0159,0.1875 ± 0.0106,0.1964 ± 0.0156,0.1885 ± 0.0148
21,mammographic_masses,20,0.1784 ± 0.0176,0.1387 ± 0.0212,0.2041 ± 0.0282,0.1969 ± 0.0243,0.2715 ± 0.0074,0.1965 ± 0.0109,0.1928 ± 0.0102,0.192 ± 0.0071,0.1905 ± 0.009
22,mammographic_masses,40,0.2389 ± 0.0188,0.1681 ± 0.0057,0.2027 ± 0.0116,0.1888 ± 0.033,0.281 ± 0.0043,0.2034 ± 0.0029,0.2085 ± 0.0141,0.2087 ± 0.0128,0.1988 ± 0.01
23,mammographic_masses,60,0.2428 ± 0.0108,0.2259 ± 0.0166,0.2588 ± 0.0051,0.1587 ± 0.0339,0.3001 ± 0.003,0.2296 ± 0.008,0.23 ± 0.0083,0.2298 ± 0.0089,0.225 ± 0.0092
24,hcv_egyptian,10,0.4021 ± 0.0076,0.3892 ± 0.0051,0.4554 ± 0.0077,0.3242 ± 0.017,0.3949 ± 0.0082,0.4023 ± 0.0102,0.3988 ± 0.0096,0.3985 ± 0.0059,0.4014 ± 0.0127
25,hcv_egyptian,20,0.4059 ± 0.0089,0.3941 ± 0.0058,0.4573 ± 0.0092,0.3367 ± 0.0183,0.3987 ± 0.0037,0.4093 ± 0.0022,0.4078 ± 0.0065,0.4078 ± 0.0044,0.4051 ± 0.0068
26,hcv_egyptian,40,0.424 ± 0.0036,0.4167 ± 0.0094,0.4564 ± 0.0069,0.3125 ± 0.0097,0.4078 ± 0.0032,0.419 ± 0.005,0.42 ± 0.0042,0.4183 ± 0.0033,0.4169 ± 0.004
27,hcv_egyptian,60,0.4336 ± 0.0047,0.4367 ± 0.0041,0.4512 ± 0.0043,0.3079 ± 0.0178,0.4188 ± 0.0055,0.4288 ± 0.0043,0.4266 ± 0.005,0.4269 ± 0.0032,0.4249 ± 0.0028
28,thoracic_surgey,10,0.1419 ± 0.0134,0.1362 ± 0.0082,0.1458 ± 0.0137,0.1443 ± 0.0311,0.1739 ± 0.0039,0.1622 ± 0.0109,0.1703 ± 0.0141,0.1816 ± 0.0095,0.1704 ± 0.007
29,thoracic_surgey,20,0.1572 ± 0.0119,0.1451 ± 0.0117,0.1441 ± 0.0082,0.1367 ± 0.0084,0.1762 ± 0.0079,0.1726 ± 0.0098,0.1752 ± 0.0153,0.1781 ± 0.0075,0.1722 ± 0.0055
30,thoracic_surgey,40,0.1858 ± 0.0104,0.1944 ± 0.0584,0.1417 ± 0.0143,0.1335 ± 0.0079,0.1802 ± 0.0075,0.1702 ± 0.01,0.1745 ± 0.0108,0.1747 ± 0.0054,0.1701 ± 0.0079
31,thoracic_surgey,60,0.1864 ± 0.0139,0.2058 ± 0.013,0.1508 ± 0.0132,0.1297 ± 0.0154,0.1779 ± 0.0142,0.1697 ± 0.0136,0.1737 ± 0.0118,0.1742 ± 0.0125,0.1726 ± 0.0128
