,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
11,bc_coimbra,60,0.2005 ± 0.0591,0.2266 ± 0.0736,0.2277 ± 0.0407,0.1835 ± 0.0749,0.2117 ± 0.0522,0.1935 ± 0.0428,0.1951 ± 0.0448,0.1946 ± 0.0422,0.1922 ± 0.0441
12,indian_liver,10,0.0743 ± 0.0519,0.0529 ± 0.0365,0.1053 ± 0.0342,0.1432 ± 0.0683,0.1078 ± 0.0424,0.1017 ± 0.0343,0.1017 ± 0.0343,0.1024 ± 0.0344,0.1016 ± 0.0342
13,indian_liver,20,0.0789 ± 0.0492,0.0597 ± 0.0373,0.1042 ± 0.0272,0.12 ± 0.0686,0.1076 ± 0.0351,0.1013 ± 0.0282,0.1014 ± 0.0282,0.102 ± 0.0283,0.1011 ± 0.0281
14,indian_liver,40,0.0783 ± 0.0449,0.0719 ± 0.0345,0.1011 ± 0.0247,0.0938 ± 0.0473,0.1045 ± 0.0325,0.0982 ± 0.0263,0.0983 ± 0.0263,0.0988 ± 0.0264,0.0977 ± 0.0262
15,indian_liver,60,0.0807 ± 0.0351,0.0943 ± 0.0511,0.1007 ± 0.0201,0.0822 ± 0.0173,0.1049 ± 0.0315,0.0974 ± 0.0229,0.0975 ± 0.0229,0.0979 ± 0.023,0.0969 ± 0.0226
16,parkinsons,10,0.0889 ± 0.0273,0.0648 ± 0.0147,0.2099 ± 0.0427,0.1733 ± 0.0618,0.1899 ± 0.0491,0.1344 ± 0.0391,0.1375 ± 0.0449,0.138 ± 0.0444,0.1357 ± 0.0441
17,parkinsons,20,0.0904 ± 0.0229,0.0678 ± 0.022,0.1956 ± 0.0365,0.186 ± 0.0661,0.1786 ± 0.0388,0.1337 ± 0.0333,0.1354 ± 0.0337,0.135 ± 0.0341,0.1353 ± 0.0296
18,parkinsons,40,0.095 ± 0.0159,0.0918 ± 0.016,0.1919 ± 0.0225,0.191 ± 0.0389,0.1718 ± 0.0274,0.138 ± 0.0275,0.1386 ± 0.0275,0.1373 ± 0.0257,0.1359 ± 0.0278
19,parkinsons,60,0.1162 ± 0.0153,0.1369 ± 0.0103,0.195 ± 0.0179,0.2815 ± 0.1561,0.1826 ± 0.0189,0.146 ± 0.0231,0.1463 ± 0.0222,0.1463 ± 0.0223,0.1544 ± 0.0251
20,mammographic_masses,10,0.1674 ± 0.0551,0.1849 ± 0.0783,0.3266 ± 0.0423,0.378 ± 0.1147,0.391 ± 0.0336,0.2531 ± 0.0344,0.253 ± 0.0348,0.2556 ± 0.034,0.2528 ± 0.0348
21,mammographic_masses,20,0.1969 ± 0.0369,0.2171 ± 0.0531,0.3126 ± 0.0272,0.3626 ± 0.0868,0.3836 ± 0.0246,0.2669 ± 0.0352,0.2676 ± 0.0352,0.2698 ± 0.0349,0.2668 ± 0.0351
22,mammographic_masses,40,0.2271 ± 0.0549,0.2589 ± 0.0516,0.3137 ± 0.0599,0.298 ± 0.0199,0.3735 ± 0.0232,0.2659 ± 0.0293,0.2664 ± 0.028,0.2685 ± 0.0277,0.2656 ± 0.0286
23,mammographic_masses,60,0.2623 ± 0.0361,0.2843 ± 0.0415,0.301 ± 0.0474,0.3205 ± 0.039,0.3619 ± 0.0243,0.2777 ± 0.0203,0.2787 ± 0.0199,0.2896 ± 0.0395,0.2777 ± 0.0191
24,hcv_egyptian,10,0.3203 ± 0.0136,0.3073 ± 0.0097,0.3145 ± 0.0256,0.3299 ± 0.0118,0.313 ± 0.0097,0.311 ± 0.0108,0.3122 ± 0.0105,0.3127 ± 0.0097,0.3094 ± 0.0109
25,hcv_egyptian,20,0.3237 ± 0.0088,0.3089 ± 0.0092,0.3181 ± 0.0264,0.3482 ± 0.0132,0.3147 ± 0.0083,0.3134 ± 0.0119,0.3126 ± 0.011,0.3123 ± 0.0104,0.3128 ± 0.0107
26,hcv_egyptian,40,0.3223 ± 0.0091,0.3111 ± 0.008,0.3173 ± 0.021,0.3434 ± 0.0166,0.316 ± 0.0079,0.3168 ± 0.0077,0.3154 ± 0.0094,0.3162 ± 0.0074,0.3172 ± 0.008
27,hcv_egyptian,60,0.322 ± 0.0089,0.3646 ± 0.0555,0.3176 ± 0.015,0.3282 ± 0.0162,0.3147 ± 0.0088,0.3144 ± 0.0095,0.3144 ± 0.0096,0.3149 ± 0.0112,0.3142 ± 0.0096
28,thoracic_surgey,10,0.1181 ± 0.0409,0.1175 ± 0.0433,0.123 ± 0.0295,0.1592 ± 0.0173,0.1679 ± 0.0293,0.1478 ± 0.0292,0.152 ± 0.0307,0.1583 ± 0.032,0.1543 ± 0.0319
29,thoracic_surgey,20,0.1093 ± 0.032,0.1182 ± 0.0355,0.1178 ± 0.024,0.1538 ± 0.048,0.1673 ± 0.0278,0.1561 ± 0.0275,0.16 ± 0.0234,0.1603 ± 0.031,0.1576 ± 0.0251
30,thoracic_surgey,40,0.1389 ± 0.0356,0.1584 ± 0.0383,0.1166 ± 0.0172,0.1714 ± 0.0666,0.1704 ± 0.0305,0.1663 ± 0.0277,0.1737 ± 0.0233,0.1629 ± 0.0252,0.1706 ± 0.0336
31,thoracic_surgey,60,0.1458 ± 0.0425,0.201 ± 0.061,0.1106 ± 0.022,0.1824 ± 0.0493,0.1634 ± 0.0314,0.1582 ± 0.031,0.1651 ± 0.0179,0.1617 ± 0.0288,0.1594 ± 0.0302
